region,line,t,perpendicular_offset_px,centerline_x,centerline_y,r,g,b,h,s,v,hue_usable
122,projected_centers,-0.25,-2,224.26450465243568,116.81096059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.25,-1,224.26450465243568,116.81096059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.25,0,224.26450465243568,116.81096059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.25,1,224.26450465243568,116.81096059113301,2.053562105461714,2.053562105461714,2.053562105461714,0.0,0.0,0.008053184727300839,False
122,projected_centers,-0.25,2,224.26450465243568,116.81096059113301,2.55431604128384,2.55431604128384,2.55431604128384,0.0,0.0,0.01001692565209349,False
122,projected_centers,-0.235,-2,224.14450465243567,117.02846059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.235,-1,224.14450465243567,117.02846059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.235,0,224.14450465243567,117.02846059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.235,1,224.14450465243567,117.02846059113301,1.6617902346733857,1.6617902346733857,1.6617902346733857,0.0,0.0,0.006516824449699552,False
122,projected_centers,-0.235,2,224.14450465243567,117.02846059113301,1.8442065055774164,1.8442065055774164,1.8442065055774164,0.0,0.0,0.0072321823748133975,False
122,projected_centers,-0.22,-2,224.02450465243567,117.24596059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.22,-1,224.02450465243567,117.24596059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.22,0,224.02450465243567,117.24596059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.22,1,224.02450465243567,117.24596059113301,1.009018363885046,1.009018363885046,1.009018363885046,0.0,0.0,0.003956934760333514,False
122,projected_centers,-0.22,2,224.02450465243567,117.24596059113301,0.9843227019980867,0.9843227019980867,0.9843227019980867,0.0,0.0,0.0038600890274434773,False
122,projected_centers,-0.20500000000000002,-2,223.90450465243566,117.46346059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.20500000000000002,-1,223.90450465243566,117.46346059113301,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.20500000000000002,0,223.90450465243566,117.46346059113301,0.22129165116310331,0.22129165116310331,0.22129165116310331,0.0,0.0,0.0008678103967180522,False
122,projected_centers,-0.20500000000000002,1,223.90450465243566,117.46346059113301,0.09524649309669513,0.09524649309669513,0.09524649309669513,0.0,0.0,0.000373515659202726,False
122,projected_centers,-0.20500000000000002,2,223.90450465243566,117.46346059113301,0.3854388984187682,0.3854388984187682,0.3854388984187682,0.0,0.0,0.0015115250918383068,False
122,projected_centers,-0.19,-2,223.7845046524357,117.68096059113302,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.19,-1,223.7845046524357,117.68096059113302,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.19,0,223.7845046524357,117.68096059113302,0.7337191963190491,0.7337191963190491,0.7337191963190491,0.0,0.0,0.00287733018164333,False
122,projected_centers,-0.19,1,223.7845046524357,117.68096059113302,1.8364421249908622,1.8364421249908622,1.8364421249908622,0.0,0.0,0.007201733823493577,False
122,projected_centers,-0.19,2,223.7845046524357,117.68096059113302,0.04755509483950149,0.04755509483950149,0.04755509483950149,0.0,0.0,0.00018649056799804504,False
122,projected_centers,-0.175,-2,223.66450465243568,117.89846059113302,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.175,-1,223.66450465243568,117.89846059113302,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.175,0,223.66450465243568,117.89846059113302,1.507146741475072,1.507146741475072,1.507146741475072,0.0,0.0,0.0059103793783336165,False
122,projected_centers,-0.175,1,223.66450465243568,117.89846059113302,6.197697710401525,6.197697710401525,6.197697710401525,0.0,0.0,0.024304696903535393,False
122,projected_centers,-0.175,2,223.66450465243568,117.89846059113302,0.02346296699186032,0.02346296699186032,0.02346296699186032,0.0,0.0,9.201163526219734e-05,False
122,projected_centers,-0.16,-2,223.54450465243568,118.11596059113302,0.05783707248848923,0.05783707248848923,0.05783707248848923,0.0,0.0,0.00022681204897446758,False
122,projected_centers,-0.16,-1,223.54450465243568,118.11596059113302,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.16,0,223.54450465243568,118.11596059113302,4.126159579488052,4.126159579488052,4.126159579488052,0.0,0.0,0.01618101795877667,False
122,projected_centers,-0.16,1,223.54450465243568,118.11596059113302,13.012353295812293,13.012353295812293,13.012353295812293,0.0,0.0,0.05102883645416585,False
122,projected_centers,-0.16,2,223.54450465243568,118.11596059113302,6.180117204256989,6.180117204256989,6.180117204256989,0.0,0.0,0.02423575374218427,False
122,projected_centers,-0.14500000000000002,-2,223.42450465243567,118.333460591133,0.24698485126674746,0.24698485126674746,0.24698485126674746,0.0,0.0,0.0009685680441833234,False
122,projected_centers,-0.14500000000000002,-1,223.42450465243567,118.333460591133,0.0,0.0,0.0,0.0,0.0,0.0,False
122,projected_centers,-0.14500000000000002,0,223.42450465243567,118.333460591133,9.594152395579947,9.594152395579947,9.594152395579947,0.0,0.0,0.037624127041489985,False
122,projected_centers,-0.14500000000000002,1,223.42450465243567,118.333460591133,22.280408881222797,22.280408881222797,22.280408881222797,0.0,0.0,0.08737415247538352,False
122,projected_centers,-0.14500000000000002,2,223.42450465243567,118.333460591133,12.860908761481316,12.860908761481316,12.860908761481316,0.0,0.0,0.05043493631953457,False
122,projected_centers,-0.13,-2,223.30450465243567,118.550960591133,0.488332630045018,0.488332630045018,0.488332630045018,0.0,0.0,0.0019150299217451686,False
122,projected_centers,-0.13,-1,223.30450465243567,118.550960591133,0.17357945081071174,0.17357945081071174,0.17357945081071174,0.0,0.0,0.0006807037286694578,False
122,projected_centers,-0.13,0,223.30450465243567,118.550960591133,16.889145211672147,16.889145211672147,16.889145211672147,0.0,0.0,0.06623194200655744,False
122,projected_centers,-0.13,1,223.30450465243567,118.550960591133,35.61193269736572,35.61193269736572,35.61193269736572,0.0,0.0,0.13965463802888517,False
122,projected_centers,-0.13,2,223.30450465243567,118.550960591133,16.82730031870611,16.82730031870611,16.82730031870611,0.0,0.0,0.06598941301453377,False
122,projected_centers,-0.11499999999999999,-2,223.18450465243566,118.768460591133,0.9709409362937356,0.9709409362937356,0.9709409362937356,0.0,0.0,0.0038076115148773944,False
122,projected_centers,-0.11499999999999999,-1,223.18450465243566,118.768460591133,1.4336626703343822,1.4336626703343822,1.4336626703343822,0.0,0.0,0.0056222065503309104,False
122,projected_centers,-0.11499999999999999,0,223.18450465243566,118.768460591133,26.011138027764428,26.011138027764428,26.011138027764428,0.0,0.0,0.10200446285397814,False
122,projected_centers,-0.11499999999999999,1,223.18450465243566,118.768460591133,54.5687901670423,54.5687901670423,54.5687901670423,0.0,0.0,0.21399525555702864,False
122,projected_centers,-0.11499999999999999,2,223.18450465243566,118.768460591133,18.079291875930792,18.079291875930792,18.079291875930792,0.0,0.0,0.07089918382717958,False
122,projected_centers,-0.1,-2,223.0645046524357,118.98596059113301,1.8296798301849706,1.8296798301849706,1.8296798301849706,0.0,0.0,0.007175215020333218,False
122,projected_centers,-0.1,-1,223.0645046524357,118.98596059113301,6.503702373214114,6.503702373214114,6.503702373214114,0.0,0.0,0.025504715189074958,False
122,projected_centers,-0.1,0,223.0645046524357,118.98596059113301,36.96013084385566,36.96013084385566,36.96013084385566,0.0,0.0,0.14494168958374767,False
122,projected_centers,-0.1,1,223.0645046524357,118.98596059113301,75.40484763671529,75.40484763671529,75.40484763671529,0.0,0.0,0.29570528484986386,False
122,projected_centers,-0.1,2,223.0645046524357,118.98596059113301,16.76200007012159,16.76200007012159,16.76200007012159,0.0,0.0,0.06573333360831997,False
122,projected_centers,-0.08500000000000002,-2,222.94450465243568,119.20346059113301,2.860930451465009,2.860930451465009,2.860930451465009,0.0,0.0,0.01121933510378435,False
122,projected_centers,-0.08500000000000002,-1,222.94450465243568,119.20346059113301,16.997867992832216,16.997867992832216,16.997867992832216,0.0,0.0,0.06665830585424398,False
122,projected_centers,-0.08500000000000002,0,222.94450465243568,119.20346059113301,55.716747049121494,55.716747049121494,55.716747049121494,0.0,0.0,0.21849704725145683,False
122,projected_centers,-0.08500000000000002,1,222.94450465243568,119.20346059113301,98.1201051063916,98.1201051063916,98.1201051063916,0.0,0.0,0.3847847259074181,False
122,projected_centers,-0.08500000000000002,2,222.94450465243568,119.20346059113301,13.694696559516075,13.694696559516075,13.694696559516075,0.0,0.0,0.053704692390259115,False
122,projected_centers,-0.07,-2,222.82450465243568,119.42096059113301,3.895930451465034,3.895930451465034,3.895930451465034,0.0,0.0,0.015278158633196212,False
122,projected_centers,-0.07,-1,222.82450465243568,119.42096059113301,29.893233612450413,29.893233612450413,29.893233612450413,0.0,0.0,0.11722836710764868,False
122,projected_centers,-0.07,0,222.82450465243568,119.42096059113301,79.92826597358844,79.92826597358844,79.92826597358844,0.0,0.0,0.3134441802885821,False
122,projected_centers,-0.07,1,222.82450465243568,119.42096059113301,112.62877566820384,112.62877566820384,112.62877566820384,0.0,0.0,0.44168147320864254,False
122,projected_centers,-0.07,2,222.82450465243568,119.42096059113301,7.025593048910401,7.025593048910401,7.025593048910401,0.0,0.0,0.02755134528984471,False
122,projected_centers,-0.05499999999999999,-2,222.70450465243567,119.63846059113301,4.930930451465059,4.930930451465059,4.930930451465059,0.0,0.0,0.019336982162608075,False
122,projected_centers,-0.05499999999999999,-1,222.70450465243567,119.63846059113301,44.448467869415964,44.448467869415964,44.448467869415964,0.0,0.0,0.17430771713496457,False
122,projected_centers,-0.05499999999999999,0,222.70450465243567,119.63846059113301,106.59318489805548,106.59318489805548,106.59318489805548,0.0,0.0,0.418012489796296,False
122,projected_centers,-0.05499999999999999,1,222.70450465243567,119.63846059113301,114.99833453491522,114.99833453491522,114.99833453491522,0.0,0.0,0.45097386092123615,False
122,projected_centers,-0.05499999999999999,2,222.70450465243567,119.63846059113301,1.3759753622175541,1.3759753622175541,1.3759753622175541,0.0,0.0,0.0053959818126178595,False
122,projected_centers,-0.04000000000000001,-2,222.58450465243567,119.85596059113301,5.965930451465083,5.965930451465083,5.965930451465083,0.0,0.0,0.023395805692019933,False
122,projected_centers,-0.04000000000000001,-1,222.58450465243567,119.85596059113301,60.61615026951067,60.61615026951067,60.61615026951067,0.0,0.0,0.23771039321376733,False
122,projected_centers,-0.04000000000000001,0,222.58450465243567,119.85596059113301,135.71150382252264,135.71150382252264,135.71150382252264,0.0,0.0,0.5322019757745986,False
122,projected_centers,-0.04000000000000001,1,222.58450465243567,119.85596059113301,113.73344274499016,113.73344274499016,113.73344274499016,0.0,0.0,0.4460135009607457,False
122,projected_centers,-0.04000000000000001,2,222.58450465243567,119.85596059113301,1.9278986015016977,1.9278986015016977,1.9278986015016977,0.0,0.0,0.0075603866725556775,False
122,projected_centers,-0.025000000000000022,-2,222.46450465243566,120.07346059113301,6.9216998975537365,6.9216998975537365,6.9216998975537365,0.0,0.0,0.0271439211668774,False
122,projected_centers,-0.025000000000000022,-1,222.46450465243566,120.07346059113301,78.92403266960548,78.92403266960548,78.92403266960548,0.0,0.0,0.3095060104690411,False
122,projected_centers,-0.025000000000000022,0,222.46450465243566,120.07346059113301,162.92432377737362,162.92432377737362,162.92432377737362,0.0,0.0,0.6389189167740141,False
122,projected_centers,-0.025000000000000022,1,222.46450465243566,120.07346059113301,107.19635095506489,107.19635095506489,107.19635095506489,0.0,0.0,0.4203778468826074,False
122,projected_centers,-0.025000000000000022,2,222.46450465243566,120.07346059113301,2.0412795904500043,2.0412795904500043,2.0412795904500043,0.0,0.0,0.008005018001764723,False
122,projected_centers,-0.010000000000000009,-2,222.3445046524357,120.29096059113301,7.521699897553617,7.521699897553617,7.521699897553617,0.0,0.0,0.02949686234334752,False
122,projected_centers,-0.010000000000000009,-1,222.3445046524357,120.29096059113301,99.37211506969368,99.37211506969368,99.37211506969368,0.0,0.0,0.38969456890075954,False
122,projected_centers,-0.010000000000000009,0,222.3445046524357,120.29096059113301,180.76170485290424,180.76170485290424,180.76170485290424,0.0,0.0,0.708869430795703,False
122,projected_centers,-0.010000000000000009,1,222.3445046524357,120.29096059113301,95.38705916513938,95.38705916513938,95.38705916513938,0.0,0.0,0.3740668986868211,False
122,projected_centers,-0.010000000000000009,2,222.3445046524357,120.29096059113301,1.624956351165846,1.624956351165846,1.624956351165846,0.0,0.0,0.0063723778477092,False
122,projected_centers,0.0050000000000000044,-2,222.22450465243568,120.50846059113302,10.675300857665576,10.675300857665576,10.675300857665576,0.0,0.0,0.041863924932021866,False
122,projected_centers,0.0050000000000000044,-1,222.22450465243568,120.50846059113302,121.96039746978815,121.96039746978815,121.96039746978815,0.0,0.0,0.47827606850897314,False
122,projected_centers,0.0050000000000000044,0,222.22450465243568,120.50846059113302,196.14568592843838,196.14568592843838,196.14568592843838,0.0,0.0,0.7691987683468172,False
122,projected_centers,0.0050000000000000044,1,222.22450465243568,120.50846059113302,77.55857017433947,77.55857017433947,77.55857017433947,0.0,0.0,0.304151255585645,False
122,projected_centers,0.0050000000000000044,2,222.22450465243568,120.50846059113302,1.1564331118817108,1.1564331118817108,1.1564331118817108,0.0,0.0,0.004535031811300827,False
122,projected_centers,0.020000000000000018,-2,222.10450465243568,120.72596059113302,22.734780821648457,22.734780821648457,22.734780821648457,0.0,0.0,0.08915600322215081,False
122,projected_centers,0.020000000000000018,-1,222.10450465243568,120.72596059113302,128.96542210577906,128.96542210577906,128.96542210577906,0.0,0.0,0.5057467533559963,False
122,projected_centers,0.020000000000000018,0,222.10450465243568,120.72596059113302,209.0762670039724,209.0762670039724,209.0762670039724,0.0,0.0,0.8199069294273427,False
122,projected_centers,0.020000000000000018,1,222.10450465243568,120.72596059113302,52.09762266423054,52.09762266423054,52.09762266423054,0.0,0.0,0.20430440260482566,False
122,projected_centers,0.020000000000000018,2,222.10450465243568,120.72596059113302,0.6357098725975736,0.6357098725975736,0.6357098725975736,0.0,0.0,0.0024929798925395043,False
122,projected_centers,0.034999999999999976,-2,221.98450465243567,120.943460591133,32.9150607856314,32.9150607856314,32.9150607856314,0.0,0.0,0.1290786697475741,False
122,projected_centers,0.034999999999999976,-1,221.98450465243567,120.943460591133,128.9302729934954,128.9302729934954,128.9302729934954,0.0,0.0,0.505608913699982,False
122,projected_centers,0.034999999999999976,0,221.98450465243567,120.943460591133,214.96162147346195,214.96162147346195,214.96162147346195,0.0,0.0,0.8429867508763214,False
122,projected_centers,0.034999999999999976,1,221.98450465243567,120.943460591133,27.263075154121545,27.263075154121545,27.263075154121545,0.0,0.0,0.10691402021224135,False
122,projected_centers,0.034999999999999976,2,221.98450465243567,120.943460591133,0.0627866333134734,0.0627866333134734,0.0627866333134734,0.0,0.0,0.00024622209142538586,False
122,projected_centers,0.04999999999999999,-2,221.86450465243567,121.160960591133,38.929431084061896,38.929431084061896,38.929431084061896,0.0,0.0,0.15266443562377213,False
122,projected_centers,0.04999999999999999,-1,221.86450465243567,121.160960591133,126.85932388121117,126.85932388121117,126.85932388121117,0.0,0.0,0.4974875446322007,False
122,projected_centers,0.04999999999999999,0,221.86450465243567,121.160960591133,179.02240087453595,179.02240087453595,179.02240087453595,0.0,0.0,0.7020486308805332,False
122,projected_centers,0.04999999999999999,1,221.86450465243567,121.160960591133,5.3630162047921095,5.3630162047921095,5.3630162047921095,0.0,0.0,0.02103143609722396,False
122,projected_centers,0.04999999999999999,2,221.86450465243567,121.160960591133,0.1766488796826379,0.1766488796826379,0.1766488796826379,0.0,0.0,0.0006927407046377957,False
122,projected_centers,0.065,-2,221.74450465243567,121.378460591133,39.82584767569207,39.82584767569207,39.82584767569207,0.0,0.0,0.15617979480663555,False
122,projected_centers,0.065,-1,221.74450465243567,121.378460591133,122.75257476892682,122.75257476892682,122.75257476892682,0.0,0.0,0.4813826461526542,False
122,projected_centers,0.065,0,221.74450465243567,121.378460591133,142.8267720157504,142.8267720157504,142.8267720157504,0.0,0.0,0.5601049882970605,False
122,projected_centers,0.065,1,221.74450465243567,121.378460591133,6.224181211530695,6.224181211530695,6.224181211530695,0.0,0.0,0.024408553770708608,False
122,projected_centers,0.065,2,221.74450465243567,121.378460591133,0.007817172588227067,0.007817172588227067,0.007817172588227067,0.0,0.0,3.065557877736104e-05,False
122,projected_centers,0.07999999999999996,-2,221.6245046524357,121.59596059113301,36.80726426732069,36.80726426732069,36.80726426732069,0.0,0.0,0.1443422128130223,False
122,projected_centers,0.07999999999999996,-1,221.6245046524357,121.59596059113301,114.00165669450924,114.00165669450924,114.00165669450924,0.0,0.0,0.44706532037062446,False
122,projected_centers,0.07999999999999996,0,221.6245046524357,121.59596059113301,110.3373431569698,110.3373431569698,110.3373431569698,0.0,0.0,0.43269546336066583,False
122,projected_centers,0.07999999999999996,1,221.6245046524357,121.59596059113301,5.653250511772029,5.653250511772029,5.653250511772029,0.0,0.0,0.02216960985008639,False
122,projected_centers,0.07999999999999996,2,221.6245046524357,121.59596059113301,0.09377069401993272,0.09377069401993272,0.09377069401993272,0.0,0.0,0.00036772821184287343,False
122,projected_centers,0.09499999999999997,-2,221.50450465243568,121.81346059113301,29.873680858950994,29.873680858950994,29.873680858950994,0.0,0.0,0.11715168964294508,False
122,projected_centers,0.09499999999999997,-1,221.50450465243568,121.81346059113301,99.28600717250993,99.28600717250993,99.28600717250993,0.0,0.0,0.38935689087258796,False
